,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85199342443,10.1080/00295450.2024.2372217,,,Uncertainty-Aware and Explainable Human Error Detection in the Operation of Nuclear Power Plants,ar,Article,Reddy B.,60150705;60015609;60005120,Tickle College of Engineering;San Jose State University;Idaho National Laboratory,Knoxville;San Jose;Idaho Falls,United States;United States;United States,9,"Reddy, Bhavya;Gursel, Ezgi;Daniels, Katy;Khojandi, Anahita;Baalis Coble, Jamie;Agarwal, Vivek;Boring, Ronald;Yadav, Vaibhav;Madadi, Mahboubeh",57967432900;57966746000;58847481200;56094794800;59230258700;7201950097;8598661200;57202307413;55538473900,60015609;60150705;60150705;60150705;60150705;60005120;60005120;60005120;60015609,2024-01-01,2024,Nuclear Technology,00295450,29092,19437471,Journal,210,12,,2312-2330,"The timely and accurate identification of incidents, such as human factor error, is important to restore nuclear power plants (NPPs) to a stable state. However, the identification of abnormal operating conditions is difficult because of the existence of multiple scenarios. In addition, to implement mitigation actions rapidly after an incident occurs, operators must accurately identify an incident by monitoring the trends of many variables. The mental burden posed by this can increase human error and cause failure in identifying incidents. Failure to identify incidents directly results in erroneous mitigation measures, which are detrimental to NPPs. In this study, we leverage uncertainty-aware models to identify such errors and thereby increase the chances of mitigating them. We use the data collected from a physical test bed. The goal is to identify both certain and accurate models. For this, the two main aspects of focus in this study are explainable artificial intelligence (XAI) and uncertainty quantification (UQ). While XAI elucidates the decision pathway, UQ evaluates decision reliability. Their integration paints a comprehensive picture, signifying that understanding decisions and their confidence should be interlinked. Thus, in this study we leverage UQ measures (e.g. entropy and mutual information) along with Shapley additive explanations to gain insights into the features contributing to both accuracy and uncertainty in error identification. Our results show that uncertainty-aware models combined with XAI tools can explain the artificial intelligence–prescribed decisions, with the potential of better explaining errors for the operators.",Explainable artificial intelligence | human error | multiclass classification | nuclear power plants | uncertainty quantification,6,2,all repository repositoryam,All Open Access Green,UT,DE-NE0008978,University of Tennessee
1,2-s2.0-85195137182,10.1080/10357718.2024.2333814,,,"The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute",ar,Article,Holmes M.,60019702;60016114,University of Birmingham;William & Mary,Birmingham;Williamsburg,United Kingdom;United States,2,"Holmes, Marcus;Wheeler, Nicholas J.",37111048400;7006426155,60016114;60019702,2024-01-01,2024,Australian Journal of International Affairs,10357718,23224,1465332X,Journal,78,2,,164-174,"This article explores the nuanced interplay between artificial intelligence (AI) and human decision making in the high-stakes arena of nuclear crisis management. We argue that AI, despite its lack of emotional intelligence and experiential learning, presents unique opportunities to enhance decision-makers’ ability to navigate the complexities of nuclear crises. By juxtaposing AI's data-driven insights with human intelligence's depth in emotional and creative processes, we illustrate the complementary roles each can play in fostering empathy, understanding, and, ultimately, security dilemma sensibility (SDS). Through theoretical exploration and thought experiments on historical crises such as the Cuban Missile Crisis and the Able Archer incident, we demonstrate AI's potential in mitigating misperceptions and facilitating informed, empathetic responses that acknowledge the fears and intentions of adversaries. However, we also highlight the inherent limitations and ethical considerations of over-relying on AI, stressing the irreplaceable value of human judgment and the need for a balanced approach that leverages the strengths of both AI and human intelligence. Our conclusion underscores the importance of integrating AI as a tool within a broader strategy of crisis management that prioritises trust-building and direct communication among decision-makers to navigate the delicate dynamics of international security and diplomacy effectively.",Artificial intelligence (AI) | empathy in diplomacy | human-AI collaboration | nuclear crisis management | security dilemma sensibility,11,0,,,,,
0,2-s2.0-105011086954,10.1016/j.fusengdes.2025.115345,S0920379625005411,,"Advancements in central control for IFMIF-DONES: Integrating CODAC, MPS, and SCS into a unified control framework",ar,Article,Cappelli M.,60027844;60022134;60005233;60019637;60110942;60073836;130886768;127284049;60416317,"Universidad de Granada;Aalborg University;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente;Istituto Nazionale di Fisica Nucleare, Sezione di Padova;Ansaldo Energia;IFMIF-DONES España Consortium;IPFN;S2Innovation Sp. z o. o.",Granada;Aalborg;Madrid;Rome;Padua;Genoa;Granada;Lisbon;Krakow,Spain;Denmark;Spain;Italy;Italy;Italy;Spain;Portugal;Poland,13,"Cappelli, M.;Ambi, F.;Botta, E.;Cruz, J.;Diaz, J.;Chen, Z.;Dwojewski, D.;Giacchini, M.;Gutierrez, V.;Lorenzo, R.;Montis, M.;Sousa, J.;Ibarra, A.",55481495700;44760939800;14023981600;60005182200;55416122600;60004555100;60005336300;8699897200;57196653502;58107575200;57201519471;24296788700;55330269400,60019637;60073836;60073836;60027844;60027844;60022134;60416317;60110942;60005233;130886768;60005233;127284049;130886768,2025-11-01,November 2025,Fusion Engineering and Design,09203796,20344,,Journal,220,,115345,,"The International Fusion Materials Irradiation Facility-DEMO[sbnd]Oriented NEutron Source (IFMIF-DONES) represents a cutting-edge accelerator-based neutron source designed to produce high-energy neutrons for the irradiation of materials intended for use in DEMO, the future fusion reactor. Given the complexity of such a facility, a robust central control system is indispensable to ensure safe supervision and management of all operations. This paper provides an overview of recent advancements in the design of the Central Instrumentation and Control Systems (CICS) for IFMIF-DONES, focusing on the transition to the definition design phase. Employing a distributed approach, the architecture utilizes fast devices and dedicated networks for real-time communication among control units. This paper outlines the current status of the design for each CICS system and discusses existing and future plans for their integration into a unified control framework. The ongoing effort to integrate all CICS systems into a cohesive framework faces various challenges, such as data acquisition synchronization and interlock management. The integration of subsystems within CICS may be powerfully enhanced using artificial intelligence tools by enabling data-driven decision-making, proactive maintenance, adaptive control, and intelligent optimization.",Artificial intelligence | CICS | fusion energy | IFMIF-DONES | Real-time control | Safety,2,1,all publisherhybridgold repository repositoryam,All Open Access Hybrid Gold Green,EU,101052200 — EUROfusion,European Commission
1,2-s2.0-85172372021,10.1136/svn-2023-002411,,37699726,Rationale and design of the GOLDEN BRIDGE II: a cluster-randomised multifaceted intervention trial of an artificial intelligence-based cerebrovascular disease clinical decision support system to improve stroke outcomes and care quality in China,ar,Article,Li Z.,60029929;60122781;60026695;60026707;60014739;60073452;60032023;125957652,"Massachusetts General Hospital;Chinese Academy of Medical Sciences & Peking Union Medical College;UT Southwestern Medical Center;Capital Medical University;UT Southwestern Medical School;Beijing Tiantan Hospital, Capital Medical University;Ronald Reagan UCLA Medical Center;Chinese Institute for Brain Research",Boston;Beijing;Dallas;Beijing;Dallas;Beijing;Los Angeles;Beijing,United States;China;United States;China;United States;China;United States;China,24,"Li, Zixiao;Zhang, Xinmiao;Ding, Lingling;Jing, Jing;Gu, Hong Qiu;Jiang, Yong;Meng, Xia;Du, Chunying;Wang, Chunjuan;Wang, Meng;Xu, Man;Zhang, Yanxu;Hu, Meera;Li, Hao;Gong, Xiping;Dong, Kehui;Zhao, Xingquan;Wang, Yilong;Liu, Liping;Xian, Ying;Peterson, Eric;Fonarow, Gregg C.;Schwamm, Lee H.;Wang, Yongjun",57205356183;56659532100;57193908264;36910639500;56479813000;57211868906;57218359252;58620182800;57218359472;59122318300;58619151600;58618896400;58618896500;57196362947;12144284300;23033777600;7407574974;57219932873;57221211282;36864743000;36065734400;57216624614;7004541381;8320879700,60073452-125957652-60122781;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452;60073452-60122781;60073452;60073452;60014739;60026695;60032023;60029929;60073452-60122781-60026707,2024-12-30,30 December 2024,Stroke and Vascular Neurology,20598688,21100869857,20598696,Journal,9,6,,723-729,"Background Given the swift advancements in artificial intelligence (AI), the utilisation of AI-based clinical decision support systems (AI-CDSSs) has become increasingly prevalent in the medical domain, particularly in the management of cerebrovascular disease. Aims To describe the design, rationale and methods of a cluster-randomised multifaceted intervention trial aimed at investigating the effect of cerebrovascular disease AI-CDSS on the clinical outcomes of patients who had a stroke and on stroke care quality. Design The GOLDEN BRIDGE II trial is a multicentre, open-label, cluster-randomised multifaceted intervention study. A total of 80 hospitals in China were randomly assigned to the AI-CDSS intervention group or the control group. For eligible participants with acute ischaemic stroke in the AI-CDSS intervention group, cerebrovascular disease AI-CDSS will provide AI-assisted imaging analysis, auxiliary stroke aetiology and pathogenesis analysis, and guideline-based treatment recommendations. In the control group, patients will receive the usual care. The primary outcome is the occurrence of new vascular events (composite of ischaemic stroke, haemorrhagic stroke, myocardial infarction or vascular death) at 3 months after stroke onset. The sample size was estimated to be 21 689 with a 26% relative reduction in the incidence of new composite vascular events at 3 months by using multiple quality-improving interventions provided by AI-CDSS. All analyses will be performed according to the intention-to-treat principle and accounted for clustering using generalised estimating equations. Conclusions Once the effectiveness is verified, the cerebrovascular disease AI-CDSS could improve stroke care and outcomes in China.",Stroke,13,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,CAMS,SML20150502,Beijing Municipal Administration of Hospitals
2,2-s2.0-85171829972,10.3389/fneur.2023.1221255,,,"Impact of e-ASPECTS software on the performance of physicians compared to a consensus ground truth: a multi-reader, multi-case study",ar,Article,Kobeissi H.,60005558;60002634;60000986;60007988;60003526;60170323;60026941;60012860;60271541,Mayo Clinic;University of Oxford Medical Sciences Division;University of Massachusetts Chan Medical School;UCI School of Medicine;Boston Medical Center;Oxford University Hospitals NHS Foundation Trust;Royal Berkshire NHS Foundation Trust;Huntington Hospital;Brainomix Limited,Rochester;Oxford;Worcester;Irvine;Boston;Oxford;Reading;Pasadena;Oxford,United States;United Kingdom;United States;United States;United States;United Kingdom;United Kingdom;United States;United Kingdom,24,"Kobeissi, Hassan;Kallmes, David F.;Benson, John;Nagelschneider, Alex;Madhavan, Ajay;Messina, Steven A.;Schwartz, Kara;Campeau, Norbert;Carr, Carrie M.;Nasr, Deena M.;Braksick, Sherri;Scharf, Eugene L.;Klaas, James;Woodhead, Zoe Victoria Joan;Harston, George;Briggs, James;Joly, Olivier;Gerry, Stephen;Kuhn, Anna L.;Kostas, Angelos A.;Nael, Kambiz;AbdalKader, Mohamad;Kadirvel, Ramanathan;Brinjikji, Waleed",57395222000;35237237800;55986670500;57201990667;55582417900;57197413849;36937184100;6701656257;35766447400;55558133200;55937645100;24465481100;6506255489;24729588300;55356290300;55317767500;26635334900;55652862200;24314518100;57223203803;8636626000;55881763400;9040778400;26433145700,60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60005558;60271541;60271541-60170323;60271541-60026941;60271541;60002634;60000986;60012860;60007988;60003526;60005558;60005558,2023-01-01,2023,Frontiers in Neurology,,21100212316,16642295,Journal,14,,1221255,,"Background: The Alberta Stroke Program Early CT Score (ASPECTS) is used to quantify the extent of injury to the brain following acute ischemic stroke (AIS) and to inform treatment decisions. The e-ASPECTS software uses artificial intelligence methods to automatically process non-contrast CT (NCCT) brain scans from patients with AIS affecting the middle cerebral artery (MCA) territory and generate an ASPECTS. This study aimed to evaluate the impact of e-ASPECTS (Brainomix, Oxford, UK) on the performance of US physicians compared to a consensus ground truth. Methods: The study used a multi-reader, multi-case design. A total of 10 US board-certified physicians (neurologists and neuroradiologists) scored 54 NCCT brain scans of patients with AIS affecting the MCA territory. Each reader scored each scan on two occasions: once with and once without reference to the e-ASPECTS software, in random order. Agreement with a reference standard (expert consensus read with reference to follow-up imaging) was evaluated with and without software support. Results: A comparison of the area under the curve (AUC) for each reader showed a significant improvement from 0.81 to 0.83 (p = 0.028) with the support of the e-ASPECTS tool. The agreement of reader ASPECTS scoring with the reference standard was improved with e-ASPECTS compared to unassisted reading of scans: Cohen's kappa improved from 0.60 to 0.65, and the case-based weighted Kappa improved from 0.70 to 0.81. Conclusion: Decision support with the e-ASPECTS software significantly improves the accuracy of ASPECTS scoring, even by expert US neurologists and neuroradiologists.",ASPECTS | imaging | neuroradiology | stroke | thrombectomy,11,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,,
3,2-s2.0-85126896571,10.1016/j.net.2022.02.024,S1738573322000973,,Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration,ar,Article,Chae Y.H.,60032144;60003780;60009754,"Korea Advanced Institute of Science and Technology;Samsung Electronics Co., Ltd.;Korea Atomic Energy Research Institute",Daejeon;Suwon;Daejeon,South Korea;South Korea;South Korea,4,"Chae, Young Ho;Lee, Chanyoung;Han, Sang Min;Seong, Poong Hyun",57202284121;57224990989;56942669800;7003752173,60032144;60009754;60003780;60032144,2022-08-01,August 2022,Nuclear Engineering and Technology,17385733,11700154337,2234358X,Journal,54,8,,2859-2870,"Because nuclear power plants (NPPs) are safety-critical infrastructure, it is essential to increase their safety and minimize risk. To reduce human error and support decision-making by operators, several artificial-intelligence-based diagnosis methods have been proposed. However, because of the nature of data-driven methods, conventional artificial intelligence requires large amount of measurement values to train and achieve enough diagnosis resolution. We propose a graph neural network (GNN) based accident diagnosis algorithm to achieve high diagnosis resolution with limited measurements. The proposed algorithm is trained with both the knowledge about physical correlation between components and measurement values. To validate the proposed methodology has a sufficiently high diagnostic resolution with limited measurement values, the diagnosis of multiple accidents was performed with limited measurement values and also, the performance was compared with convolution neural network (CNN). In case of the experiment that requires low diagnostic resolution, both CNN and GNN showed good results. However, for the tests that requires high diagnostic resolution, GNN greatly outperformed the CNN.",Graph | Graph neural network | Multiple accident | Nuclear power plant,45,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,MSIP,NRF-2016R1A5A1013919,"Ministry of Science, ICT and Future Planning"
0,2-s2.0-85182235668,10.1186/s13018-023-04509-7,,38216968,Supraspinatus extraction from MRI based on attention-dense spatial pyramid UNet network,ar,Article,Wang P.,60064143;60005189,Nanjing University of Information Science & Technology;Nanjing University of Chinese Medicine,Nanjing;Nanjing,China;China,3,"Wang, Peng;Liu, Yang;Zhou, Zhong",58737415700;58748336200;58809991700,60005189;60064143;60005189,2024-12-01,December 2024,Journal of Orthopaedic Surgery and Research,,5700191212,1749799X,Journal,19,1,60,,"Background: With potential of deep learning in musculoskeletal image interpretation being explored, this paper focuses on the common site of rotator cuff tears, the supraspinatus. It aims to propose and validate a deep learning model to automatically extract the supraspinatus, verifying its superiority through comparison with several classical image segmentation models. Method: Imaging data were retrospectively collected from 60 patients who underwent inpatient treatment for rotator cuff tears at a hospital between March 2021 and May 2023. A dataset of the supraspinatus from MRI was constructed after collecting, filtering, and manually annotating at the pixel level. This paper proposes a novel A-DAsppUnet network that can automatically extract the supraspinatus after training and optimization. The analysis of model performance is based on three evaluation metrics: precision, intersection over union, and Dice coefficient. Results: The experimental results demonstrate that the precision, intersection over union, and Dice coefficients of the proposed model are 99.20%, 83.38%, and 90.94%, respectively. Furthermore, the proposed model exhibited significant advantages over the compared models. Conclusion: The designed model in this paper accurately extracts the supraspinatus from MRI, and the extraction results are complete and continuous with clear boundaries. The feasibility of using deep learning methods for musculoskeletal extraction and assisting in clinical decision-making was verified. This research holds practical significance and application value in the field of utilizing artificial intelligence for assisting medical decision-making.",Deep learning | Medical imaging | MRI | Rotator cuff | Supraspinatus extraction,6,1,all publisherfullgold repository repositoryam,All Open Access Gold Green,,SJCX22-0836,
1,2-s2.0-85168145286,10.1016/j.jacr.2023.07.010,S1546144023005380,37517768,Using Artificial Intelligence Chatbots as a Radiologic Decision-Making Tool for Liver Imaging: Do ChatGPT and Bard Communicate Information Consistent With the ACR Appropriateness Criteria?,ar,Article,Patil N.S.,60031828;60021600;60193300,McMaster University;University of Toronto Faculty of Medicine;Michael G. DeGroote School of Medicine,Hamilton;Toronto;Hamilton,Canada;Canada;Canada,4,"Patil, Nikhil S.;Huang, Ryan S.;van der Pol, Christian B.;Larocque, Natasha",57641507300;58539157700;56255634900;56175273700,60193300;60021600;60031828;60031828,2023-10-01,October 2023,Journal of the American College of Radiology,15461440,130052,1558349X,Journal,20,10,,1010-1013,,,26,0,,,,,
2,2-s2.0-85145971109,10.1016/j.bspc.2022.104523,S1746809422009776,,Development of artificial intelligence-based clinical decision support system for diagnosis of meniscal injury using magnetic resonance images,ar,Article,Chou Y.T.,60031941;60199493;60211900,China Medical University Hospital;National Yang Ming Chiao Tung University;School of Medicine,Taichung;Hsinchu;Taichung,Taiwan;Taiwan;Taiwan,9,"Chou, Yi Ting;Lin, Ching Ting;Chang, Ting An;Wu, Ya Lun;Yu, Cheng En;Ho, Tsung Yu;Chen, Hui Yi;Hsu, Kai Cheng;Kuang-Sheng Lee, Oscar",57217466809;12244373000;58054831800;57946021800;58054831900;57212020875;36110689200;55424168100;9746642400,60031941-60211900;60031941;60031941;60031941;60211900;60031941-60211900;60031941;60031941;60031941-60211900-60199493,2023-04-01,April 2023,Biomedical Signal Processing and Control,17468094,4700152237,17468108,Journal,82,,104523,,"Background: Magnetic resonance imaging (MRI) examinations are often necessary for the diagnosis of meniscal injuries. Due to the quantity and detail of the images in an MRI examination, a careful reading of MR images is time-consuming even for experienced physicians. The use of artificial intelligence (AI) models for interpreting MR images may address this problem. Objective: This study aimed to utilize MR images and arthroscopic findings as a dataset to develop an AI model that can help detect meniscal lesions, and thus aid in the diagnosis of meniscus injuries. Method: Our dataset comprised data from 811 knee MRI studies. MR images were labeled and annotated by two orthopedic surgeons. The training pipeline had two parts. First, Scaled-YOLOv4 was used to detect the position of the meniscus. Second, the EfficientNet-B7 model structure was used to detect meniscal tears. A brief report demonstrating the probability and the position of a normal or torn meniscus was then generated by the AI-based clinical decision support system. Result: The Scaled-YOLOv4 model had areas under the curve (AUCs) of 0.948 and 0.963 in the sagittal and coronal views, respectively. The EfficientNet-B7 model yielded AUCs of 0.984 and 0.972 in the sagittal and coronal views, respectively. High AUCs were achieved both in meniscus localization and meniscal tear detection. Discussion: In this study, we utilized arthroscopic findings, obtained using the optimal meniscal tear diagnosis method, as our ground truth label. Nevertheless, this approach did not provide better model performance than that based on MRI clinical reports. Conclusions: The contributions of this paper include the following points. First, an AI-based clinical decision support system was established to detect meniscal injury based on a deep learning model algorithm. High sensitivity and specificity were achieved by the model system. The model may have substantially facilitated the diagnosis of meniscal injuries from MR images. Second, through the AI detection system, clinicians can obtain a structured report of meniscus rupture, which enables physicians to interpret images more quickly and saves time for physicians to read images.",Arthroscopy | Artificial Intelligence | Knee | Magnetic Resonance Imaging | Meniscal tear diagnosis,14,0,,,NARL,110–2321-B-039–002,National Applied Research Laboratories
0,2-s2.0-85201216269,10.1016/j.ahj.2024.08.004,S0002870324001984,39128659,Use of artificial intelligence‐guided echocardiography to detect cardiac dysfunction and heart valve disease in rural and remote areas: Rationale and design of the AGILE‐echo trial,ar,Article,Soh C.H.,60033409;60027621;60087850;60009655;60343003;131562539;131562638,Baker Heart and Diabetes Institute;Menzies Institute for Medical Research;The University of Sydney Nepean Clinical School;Alice Springs Hospital;Baker Department of Cardiometabolic Health;Merredin District Hospital;Ochre Medical Centre,Melbourne;Hobart;Sydney;Alice Springs;Melbourne;Wheatbelt;Hobart,Australia;Australia;Australia;Australia;Australia;Australia;Australia,8,"Soh, Cheng Hwee;Wright, Leah;Baumann, Angus;Seidel, Bastian;Yu, Christopher;Nolan, Mark;Mylius, Tony;Marwick, Thomas H.",57213620942;56212896300;57205170995;57764392000;57201889762;56432213600;59259377200;7102424966,60033409-60343003;60033409;60009655;131562638;122564358-60087850;60033409;131562539;60033409-60343003-60027621,2024-11-01,November 2024,American Heart Journal,00028703,22414,10976744,Journal,277,,,11-19,"Background: Transthoracic echocardiography (TTE) is essential in the diagnosis of cardiovascular diseases (CVD), including but not limited to heart failure (HF) and heart valve disease (HVD). However, its dependence on expert acquisition means that its accessibility in rural areas may be limited, leading to delayed management decisions and potential missed diagnoses. Artificial intelligence-guided (AI)-TTE offers a solution by permitting non-expert image acquisition. The impact of AI-TTE on the timing of diagnosis and early initiation of cardioprotection is undefined. Methods: AGILE-Echo (use of Artificial intelligence-Guided echocardiography to assIst cardiovascuLar patient managEment) is a randomized-controlled trial conducted in 5 rural and remote areas around Australia. Adults with CV risk factors and exercise intolerance, or concerns regarding HVD are randomized into AI-TTE or usual care (UC). AI-TTE participants may have a cardiovascular problem excluded, identified (leading to AI-guided interventions) or unresolved (leading to conventional TTE). UC participants undergo usual management, including referral for standard TTE. The primary endpoint is a composite of HVD or HF diagnosis at 12-months. Subgroup analysis, stratified based on age range and sex, will be conducted. All statistical analyses will be conducted using R. Results: Of the first 157 participants, 78 have been randomized into AI-TTE (median age 68 [IQR 17]) and 79 to UC (median age 65 [IQR 17], P = .034). HVD was the primary concern in 37 participants (23.6%) while 84.7% (n = 133) experienced exercise intolerance. The overall 10-year HF incidence risk was 13.4% and 20.0% (P = .089) for UC and AI-TTE arm respectively. Atrial remodeling, left ventricular remodeling and valvular regurgitation were the most common findings. Thirty-three patients (42.3%) showed no abnormalities. Conclusions: This randomized-controlled trial of AI-TTE will provide proof-of-concept for the role of AI-TTE in identifying pre-symptomatic HF or HVD when access to TTE is limited. Additionally, this could promote the usage of AI-TTE in rural or remote areas, ultimately improving health and quality of life of community dwelling adults with risks, signs or symptoms of cardiac dysfunction.",,9,1,all publisherhybridgold,All Open Access Hybrid Gold,,,
