,uid,title,doi,subtypeDescription,year,volume,issue,author_names,issn,authkeywords
0,WOS:001236483000010,"The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute",10.1080/10357718.2024.2333814,Article,2024,78,2,"Holmes, Marcus; Wheeler, Nicholas J.",1035-7718,Artificial intelligence (AI)| nuclear crisis management| security dilemma sensibility| empathy in diplomacy| human-AI collaboration
1,WOS:001274838000001,Uncertainty-Aware and Explainable Human Error Detection in the Operation of Nuclear Power Plants,10.1080/00295450.2024.2372217,Article,2024,210,12,"Reddy, Bhavya; Gursel, Ezgi; Daniels, Katy; Khojandi, Anahita; Baalis Coble, Jamie; Agarwal, Vivek; Boring, Ronald; Yadav, Vaibhav; Madadi, Mahboubeh",0029-5450,Explainable artificial intelligence| uncertainty quantification| multiclass classification| human error| nuclear power plants
2,WOS:000772050500001,The need for and conceptual design of an AI model-based Integrated Flight Advisory System,10.1177/1748006X221083379,Article,2023,237,2,"Ramos, Marilia A.; Sankaran, Karthik; Guarro, Sergio; Mosleh, Ali; Ramezani, Ramin; Arjounilla, Adrian",1748-006X,Aviation| autonomy| automation| decision-support| artificial intelligence
3,WOS:000844438800011,Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration,10.1016/j.net.2022.02.024,Article,2022,54,8,"Chae, Young Ho; Lee, Chanyoung; Han, Sang Min; Seong, Poong Hyun",1738-5733,Multiple accident| Nuclear power plant| Graph| Graph neural network
4,WOS:001274838000001,Uncertainty-Aware and Explainable Human Error Detection in the Operation of Nuclear Power Plants,10.1080/00295450.2024.2372217,Article,2024,210,12,"Reddy, Bhavya; Gursel, Ezgi; Daniels, Katy; Khojandi, Anahita; Baalis Coble, Jamie; Agarwal, Vivek; Boring, Ronald; Yadav, Vaibhav; Madadi, Mahboubeh",0029-5450,Explainable artificial intelligence| uncertainty quantification| multiclass classification| human error| nuclear power plants
5,WOS:001236483000010,"The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute",10.1080/10357718.2024.2333814,Article,2024,78,2,"Holmes, Marcus; Wheeler, Nicholas J.",1035-7718,Artificial intelligence (AI)| nuclear crisis management| security dilemma sensibility| empathy in diplomacy| human-AI collaboration
6,WOS:000772050500001,The need for and conceptual design of an AI model-based Integrated Flight Advisory System,10.1177/1748006X221083379,Article,2023,237,2,"Ramos, Marilia A.; Sankaran, Karthik; Guarro, Sergio; Mosleh, Ali; Ramezani, Ramin; Arjounilla, Adrian",1748-006X,Aviation| autonomy| automation| decision-support| artificial intelligence
7,WOS:000898766700002,An open time-series simulated dataset covering various accidents for nuclear power plants,10.1038/s41597-022-01879-1,Article,2022,9,1,"Qi, Ben; Xiao, Xingyu; Liang, Jingang; Po, Li-chi Cliff; Zhang, Liguo; Tong, Jiejuan",,
8,WOS:001565106400001,From black box to glass box: Explainable AI for enhancing operator decision making in reactor accident scenarios,10.1016/j.pnucene.2025.106009,Article,2026,190,,"Najar, Merouane; Wang, He",0149-1970,
9,WOS:001567490700001,Fault identification and signal restoration of sensors based on artificial intelligence at nuclear power plants,10.1016/j.net.2025.103876,Article,2026,58,1,"Hong, Ji Woo; Park, Ji Hun; Na, Man Gyun",1738-5733,Artificial intelligence| Signal fault| Fault identification| Signal restoration
