nuclear, artifical intelligence, incidents: 0
nuclear, artifical intelligence, accidents: 0
nuclear, artifical intelligence, near misses: 0
nuclear, artifical intelligence, injuries: 0
nuclear, artifical intelligence, failures: 0
nuclear, artifical intelligence, adverse event: 0
nuclear, machine learning, incidents: 3
nuclear, machine learning, accidents: 12
nuclear, machine learning, near misses: 0
nuclear, machine learning, injuries: 4
nuclear, machine learning, failures: 11
nuclear, machine learning, adverse event: 0
nuclear, neural networks, incidents: 3
nuclear, neural networks, accidents: 8
nuclear, neural networks, near misses: 0
nuclear, neural networks, injuries: 3
nuclear, neural networks, failures: 6
nuclear, neural networks, adverse event: 2
nuclear, language models, incidents: 0
nuclear, language models, accidents: 2
nuclear, language models, near misses: 0
nuclear, language models, injuries: 0
nuclear, language models, failures: 2
nuclear, language models, adverse event: 1
aerospace, artifical intelligence, incidents: 0
aerospace, artifical intelligence, accidents: 0
aerospace, artifical intelligence, near misses: 0
aerospace, artifical intelligence, injuries: 0
aerospace, artifical intelligence, failures: 0
aerospace, artifical intelligence, adverse event: 0
aerospace, machine learning, incidents: 0
aerospace, machine learning, accidents: 0
aerospace, machine learning, near misses: 0
aerospace, machine learning, injuries: 0
aerospace, machine learning, failures: 2
aerospace, machine learning, adverse event: 0
aerospace, neural networks, incidents: 1
aerospace, neural networks, accidents: 0
aerospace, neural networks, near misses: 0
aerospace, neural networks, injuries: 0
aerospace, neural networks, failures: 0
aerospace, neural networks, adverse event: 0
aerospace, language models, incidents: 0
aerospace, language models, accidents: 0
aerospace, language models, near misses: 0
aerospace, language models, injuries: 0
aerospace, language models, failures: 0
aerospace, language models, adverse event: 0
health*, artifical intelligence, incidents: 0
health*, artifical intelligence, accidents: 0
health*, artifical intelligence, near misses: 0
health*, artifical intelligence, injuries: 0
health*, artifical intelligence, failures: 0
health*, artifical intelligence, adverse event: 0
health*, machine learning, incidents: 9
health*, machine learning, accidents: 31
health*, machine learning, near misses: 1
health*, machine learning, injuries: 51
health*, machine learning, failures: 116
health*, machine learning, adverse event: 22
health*, neural networks, incidents: 2
health*, neural networks, accidents: 15
health*, neural networks, near misses: 0
health*, neural networks, injuries: 23
health*, neural networks, failures: 59
health*, neural networks, adverse event: 4
health*, language models, incidents: 3
health*, language models, accidents: 6
health*, language models, near misses: 0
health*, language models, injuries: 13
health*, language models, failures: 15
health*, language models, adverse event: 9
medic*, artifical intelligence, incidents: 0
medic*, artifical intelligence, accidents: 0
medic*, artifical intelligence, near misses: 0
medic*, artifical intelligence, injuries: 0
medic*, artifical intelligence, failures: 0
medic*, artifical intelligence, adverse event: 0
medic*, machine learning, incidents: 7
medic*, machine learning, accidents: 27
medic*, machine learning, near misses: 1
medic*, machine learning, injuries: 52
medic*, machine learning, failures: 105
medic*, machine learning, adverse event: 33
medic*, neural networks, incidents: 1
medic*, neural networks, accidents: 11
medic*, neural networks, near misses: 0
medic*, neural networks, injuries: 18
medic*, neural networks, failures: 32
medic*, neural networks, adverse event: 5
medic*, language models, incidents: 2
medic*, language models, accidents: 6
medic*, language models, near misses: 0
medic*, language models, injuries: 18
medic*, language models, failures: 16
medic*, language models, adverse event: 10
clinical, artifical intelligence, incidents: 0
clinical, artifical intelligence, accidents: 0
clinical, artifical intelligence, near misses: 0
clinical, artifical intelligence, injuries: 0
clinical, artifical intelligence, failures: 0
clinical, artifical intelligence, adverse event: 0
clinical, machine learning, incidents: 9
clinical, machine learning, accidents: 52
