Title,Study,Background Flag,Data Flag,Modeling Flag,Results Flag,Bias Flag,Discussion Flag,Other,Explanation,Score
A deep learning analysis of stroke onset time prediction and comparison to DWI-FLAIR mismatch,Akay 2023,,,,,,,Low Concern,Authors do not have permission to share the data used in this analysis,95.24
Decision tree-based machine learning algorithm for prediction of acute radiation esophagitis,Alizade-Harakiyan 2025,,Medium Concern,,,Medium Concern,,,"Small dataset (only 100 patients) and didn’t consider differences due to age, ethnicity, or gender",80.95
Use of clinical pathway simulation and machine learning to identify key levers for maximizing the benefit of intravenous thrombolysis in acute stroke,Allen 2022,,,,,Low Concern,,,"Used pseudoanonymized data, but didn’t consider how the conclusions varied as a factor of gender, ethnicity, or age. Status quo evaluations considered age < or > 80 yrs as pertinent",95.24
Trust but verify: Lessons learned for the application of AI to case-based clinical decision-making from postmarketing drug safety assessment at the US food and drug administration,Ball 2024,,,,,,,,"This is a “lessons-learned” article, so not a formal study. But, since it’s done by the FDA, it’s not surprising that this is extremely well-conducted.",100
Optimised machine learning classification model to detect void formations in friction stir welding,Baruah 2023,,Low Concern,,,,,,"Data available on request, but small dataset— only 108 entries",95.24
Event-related potentials reveal incongruent behavior of autonomous vehicles in the moral machine dilemma,Bertheau 2025,,Low Concern,,,,,,"Small sample size, only 34 participants and 6,800 decisions",95.24
Prediction of cervical spine injury in young pediatric patients: an optimal trees artificial intelligence approach,Bertsimas 2019,,,,,Low Concern,,,"Considered patient data from U.S., Canada, and Brazil, and described the demographics of their dataset, but didn’t permute these features during their modeling to evaluate the impact on outcomes. ",95.24
Dosimetric planning tradeoffs to reduce heart dose using machine learning-guided decision support software in patients with lung cancer,Bitterman 2022,,,,,Low Concern,,,"didn’t evaluate differences between ethnicities, genders, or age, though these features are mentioned in the dataset",95.24
Machine learning-generated decision boundaries for prediction and exploration of patient-specific quality assurance failures in stereotactic radiosurgery plans,Braun 2022,,Medium Concern,,,,,,"Only considered 38 patients, but used additional datasets. Dataset is available, even upon request. Code would be available upon “reasonable” request.",90.48
Artificial intelligence to assist decision-making on pharmacotherapy: A feasibility study,Bücker 2024,,Medium Concern,,,Low Concern,,,"Very small sample size and lumped data together to have enough samples for each category. No analysis of impacts of gender, ethnicity, or age.",85.71
Evidence-based managerial decision-making with machine learning: The case of Bayesian inference in aviation incidents,Cankaya 2023,,,Low Concern,,,,,Unclear whether or not they performed hyperparameter tuning,95.24
"If you worry about humanity, you should be more scared of humans than of AI",Cerf 2023,,,,Medium Concern,,,,"Policy-focused paper, but clearly addresses impacts of bias, problem context, and reviews pertinent literature. No data or modeling present in this piece, however, flagging a medium-concern on results because it seems that the conclusions may be overstated without sufficient analysis.",90.48
Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration,Chae 2022,,Medium Concern,,,,,,"Only synthetic data was used, so it would be hard to justify this for a real NPP",90.48
Predictive modeling of survival and toxicity in patients with hepatocellular carcinoma after radiotherapy,Chamseddine 2022,,,,,Low Concern,,,"Very, very thorough study. But still failed to assess bias",95.24
Evaluation of large language models' ability to identify clinically relevant drug-drug interactions and generate high-quality clinical pharmacotherapy recommendations,Chase 2025,,Low Concern,Medium Concern,,,,,"This analysis used out of the box models (Claude, Gemini, and ChatGPT), so reproducibility is not possible and the models quickly become outdated. Also, the dataset was synthetic— they were just hypothetical scenarios generated by doctors.",85.71
Evaluation of an automated clinical decision system with deep learning dose prediction and NTCP model for prostate cancer proton therapy,Chen 2024,,Low Concern,,,Low Concern,,,"Only 95 patients included in the study, so small dataset
No risk of bias assessment, but this isn’t as critical since it’s mostly imaging data",90.48
"Ability of machine-learning based clinical decision support system to reduce alert fatigue, wrong-drug errors, and alert users about look alike, sound alike medication",Chen 2024,,Low Concern,Low Concern,,Low Concern,,,"It seemed like they treated all datapoints as equals in this study, and I think there could’ve been a little more analysis. Like, maybe some doctors were responsible for most of the denials. I also fear that this model was dated and they didn’t provide an alternative. Dataset was combined across two years but algorithm changed in the second year.",85.71
A machine learning-based clinical decision support system to identify prescriptions with a high risk of medication error,Corny 2020,,,Medium Concern,,Low Concern,,,"Seems to be using 2 different models? And no analysis of gender, ethnicity, or age on impacts",85.71
