"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FULN9LH7","journalArticle","2024","Holmes, Marcus; Wheeler, Nicholas J.","The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute","","","","10.1080/10357718.2024.2333814","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","78.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/LP4KSR5P/Holmes and Wheeler - 2024 - The role of artificial intelligence in nuclear crisis decision making a complement, not a substitut.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RDJTEMN","journalArticle","2024","Reddy, Bhavya; Gursel, Ezgi; Daniels, Katy; Khojandi, Anahita; Baalis Coble, Jamie; Agarwal, Vivek; Boring, Ronald; Yadav, Vaibhav; Madadi, Mahboubeh","Uncertainty-aware and explainable human error detection in the operation of nuclear power plants","","","","10.1080/00295450.2024.2372217","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","210.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/YKWRPPMB/Reddy et al. - 2024 - Uncertainty-aware and explainable human error detection in the operation of nuclear power plants.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3YYRPTL","journalArticle","2023","Ramos, Marilia A.; Sankaran, Karthik; Guarro, Sergio; Mosleh, Ali; Ramezani, Ramin; Arjounilla, Adrian","The need for and conceptual design of an AI model-based integrated flight advisory system","","","","10.1177/1748006X221083379","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","237.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/HN3F2IKK/Ramos et al. - 2023 - The need for and conceptual design of an AI model-based integrated flight advisory system.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3BQU239","journalArticle","2022","Chae, Young Ho; Lee, Chanyoung; Han, Sang Min; Seong, Poong Hyun","Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration","","","","10.1016/j.net.2022.02.024","","","2022","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","54.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/C4T92E4U/Chae et al. - 2022 - Graph neural network based multiple accident diagnosis in nuclear power plants Data optimization to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZQPR34M","journalArticle","2026","Hong, Ji Woo; Park, Ji Hun; Na, Man Gyun","Fault identification and signal restoration of sensors based on artificial intelligence at nuclear power plants","","","","10.1016/j.net.2025.103876","","","2026","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","58.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/6P67XJJV/Hong et al. - 2026 - Fault identification and signal restoration of sensors based on artificial intelligence at nuclear p.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K59K7XKS","journalArticle","2023","Cerf, Moran; Waytz, Adam","If you worry about humanity, you should be more scared of humans than of AI","","","","10.1080/00963402.2023.2245242","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","79.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/5JT6XFXZ/Cerf and Waytz - 2023 - If you worry about humanity, you should be more scared of humans than of AI.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXNFLLQ9","journalArticle","2024","Zhao, Nan; Han, Rui; Ying, Fei; Rong, Hua","Human-machine cooperation in safety management: An intelligent decision-making framework for cooling water intake reliability","","","","10.1016/j.pnucene.2024.105452","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","177.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/ZVFQYQAG/Zhao et al. - 2024 - Human-machine cooperation in safety management An intelligent decision-making framework for cooling.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AK2RGBZY","journalArticle","2023","Hossny, K.; Villanueva, W.; Wang, H. D.","Distinctive physical insights driven from machine learning modelling of nuclear power plant severe accident scenario propagation","","","","10.1038/s41598-023-28205-y","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","13.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/2CCQL328/Hossny et al. - 2023 - Distinctive physical insights driven from machine learning modelling of nuclear power plant severe a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6X6L6SS","journalArticle","2024","Yao, Di; Gao, Ge; Yang, Qingyu; Fan, Feng; Yan, Jiachuan","Mechanical behaviors and internal pressure bearing capacity of nuclear containment using UHPC and ECC: From numerical simulation, machine learning prediction to fragility analysis","","","","10.1016/j.nucengdes.2024.113617","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","429.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/HKCAEKZK/Yao et al. - 2024 - Mechanical behaviors and internal pressure bearing capacity of nuclear containment using UHPC and EC.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM5KVIVU","journalArticle","2019","Bertsimas, Dimitris; Masiakos, Peter T.; Mylonas, Konstantinos S.; Wiberg, Holly","Prediction of cervical spine injury in young pediatric patients: an optimal trees artificial intelligence approach","","","","10.1016/j.jpedsurg.2019.03.007","","","2019","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","54.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/WLK2A652/Bertsimas et al. - 2019 - Prediction of cervical spine injury in young pediatric patients an optimal trees artificial intelli.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
