"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Z9GG6IZ7","journalArticle","2024","Holmes, Marcus; Wheeler, Nicholas J.","The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute","","","1035-7718","10.1080/10357718.2024.2333814","","","2024","2025-12-15 17:38:50","2025-12-16 17:55:52","","","","","78.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Holmes-and-Wheeler-2024-2cb683956c2581fb9b9ffe58880a8323","notion; artificial intelligence (ai); empathy in diplomacy; human-ai collaboration; nuclear crisis management; security dilemma sensibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2VE242I","journalArticle","2024","Reddy, Bhavya; Gursel, Ezgi; Daniels, Katy; Khojandi, Anahita; Baalis Coble, Jamie; Agarwal, Vivek; Boring, Ronald; Yadav, Vaibhav; Madadi, Mahboubeh","Uncertainty-aware and explainable human error detection in the operation of nuclear power plants","","","0029-5450","10.1080/00295450.2024.2372217","","","2024","2025-12-15 17:38:50","2025-12-16 17:55:52","","","","","210.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Reddy-et-al-2024-2cb683956c2581bb8d80d3c29d18cb5b","nuclear power plants; notion; explainable artificial intelligence; uncertainty quantification; human error; multiclass classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3I5A354","journalArticle","2023","Ramos, Marilia A.; Sankaran, Karthik; Guarro, Sergio; Mosleh, Ali; Ramezani, Ramin; Arjounilla, Adrian","The need for and conceptual design of an AI model-based integrated flight advisory system","","","1748-006X","10.1177/1748006X221083379","","","2023","2025-12-15 17:38:50","2025-12-16 17:55:54","","","","","237.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Ramos-et-al-2023-2cb683956c25817e993bef1c0099d9ff","artificial intelligence; notion; decision-support; aviation; automation; autonomy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTPKFDPG","journalArticle","2022","Chae, Young Ho; Lee, Chanyoung; Han, Sang Min; Seong, Poong Hyun","Graph neural network based multiple accident diagnosis in nuclear power plants: Data optimization to represent the system configuration","","","1738-5733","10.1016/j.net.2022.02.024","","","2022","2025-12-15 17:38:50","2025-12-16 17:55:54","","","","","54.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Chae-et-al-2022-2cb683956c258198885fd539697e28a2","notion; graph; graph neural network; multiple accident; nuclear power plant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UD5NELS","journalArticle","2022","Qi, Ben; Xiao, Xingyu; Liang, Jingang; Po, Li-chi Cliff; Zhang, Liguo; Tong, Jiejuan","An open time-series simulated dataset covering various accidents for nuclear power plants","","","","10.1038/s41597-022-01879-1","","","2022","2025-12-15 17:38:50","2025-12-16 17:55:55","","","","","9.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/FRQM2EPV/Qi et al. - 2022 - An open time-series simulated dataset covering various accidents for nuclear power plants.pdf; ","notion://www.notion.so/Qi-et-al-2022-2cb683956c2581858e3bf99d32fb0d0f","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A96AIJXP","journalArticle","2026","Najar, Merouane; Wang, He","From black box to glass box: Explainable AI for enhancing operator decision making in reactor accident scenarios","","","0149-1970","10.1016/j.pnucene.2025.106009","","","2026","2025-12-15 17:38:50","2025-12-16 17:55:55","","","","","190.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Najar-and-Wang-2026-2cb683956c25813aae01fb71dfffd0e2","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WGTQMRS","journalArticle","2026","Hong, Ji Woo; Park, Ji Hun; Na, Man Gyun","Fault identification and signal restoration of sensors based on artificial intelligence at nuclear power plants","","","1738-5733","10.1016/j.net.2025.103876","","","2026","2025-12-15 17:38:50","2025-12-16 17:55:57","","","","","58.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Hong-et-al-2026-2cb683956c2581628dfbfb5bdd78a157","artificial intelligence; notion; fault identification; signal fault; signal restoration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"322UNZVM","journalArticle","2025","Liu, Shuai; Liang, Qun","Sepsis toxicity network reconstruction-Dynamic signaling and multi-organ injury: A review","","","2831-0896","10.17305/bb.2025.12931","","","2025","2025-12-15 17:38:50","2025-12-16 17:55:58","","","","","","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/UZLM9CDD/Liu and Liang - 2025 - Sepsis toxicity network reconstruction-Dynamic signaling and multi-organ injury A review.pdf; ","notion://www.notion.so/Liu-and-Liang-2025-2cb683956c258165ab9bc1399f4f4440","notion; sepsis; dynamic evolution of signaling pathways; multiple organ dysfunction; network biology; systemic toxicity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSJFNRV2","journalArticle","2023","Cerf, Moran; Waytz, Adam","If you worry about humanity, you should be more scared of humans than of AI","","","0096-3402","10.1080/00963402.2023.2245242","","","2023","2025-12-15 17:38:50","2025-12-16 17:55:59","","","","","79.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Cerf-and-Waytz-2023-2cb683956c2581ada9efd84247b4f042","ethics; artificial intelligence; notion; algorithmic bias; cybersecurity; existential risk; nuclear decision making","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZF5KQNK5","journalArticle","2024","Kegyes, Tamas; Sule, Zoltan; Abonyi, Janos","Machine learning -based decision support framework for CBRN protection","","","","10.1016/j.heliyon.2024.e25946","","","2024","2025-12-15 17:38:50","2025-12-16 17:55:59","","","","","10.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/KAZRV32Y/Kegyes et al. - 2024 - Machine learning -based decision support framework for CBRN protection.pdf; ","notion://www.notion.so/Kegyes-et-al-2024-2cb683956c25813789bfd27f36f0674f","machine learning; notion; decision support system; predictive analytics; cbrn protection framework; information management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ9JSMPQ","journalArticle","2024","Zhao, Nan; Han, Rui; Ying, Fei; Rong, Hua","Human-machine cooperation in safety management: An intelligent decision-making framework for cooling water intake reliability","","","0149-1970","10.1016/j.pnucene.2024.105452","","","2024","2025-12-15 17:38:50","2025-12-16 17:55:59","","","","","177.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Zhao-et-al-2024-2cb683956c258143803acb0010ac2c74","notion; decision-making; human-machine cooperation; intelligence; safety management; water intake reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA6NNY3J","journalArticle","2017","Fernandez, Mario Gomez; Tokuhiro, Akira; Welter, Kent; Wu, Qiao","Nuclear energy system's behavior and decision making using machine learning","","","0029-5493","10.1016/j.nucengdes.2017.08.020","","","2017","2025-12-15 17:38:50","2025-12-16 17:56:00","","","","","324.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Fernandez-et-al-2017-2cb683956c25815eaac4fb8642901c1c","machine learning; notion; decision-making optimization; nuclear energy systems; small modular reactors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRTT6KKP","journalArticle","2021","Sallehhudin, Wazif; Diab, Aya","Using machine learning to predict the fuel peak cladding temperature for a large break loss of coolant accident","","","2296-598X","10.3389/fenrg.2021.755638","","","2021","2025-12-15 17:38:50","2025-12-16 17:56:00","","","","","9.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/37PM4LGK/Sallehhudin and Diab - 2021 - Using machine learning to predict the fuel peak cladding temperature for a large break loss of coola.pdf; ","notion://www.notion.so/Sallehhudin-and-Diab-2021-2cb683956c2581f89155fa140ce5f534","machine learning; notion; artificial neural network; nuclear safety; peak cladding temperature; uncertainty quantification; large break loca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBECVHYX","journalArticle","2022","Racheal, Suubi; Liu, Yongkuo; Ayodeji, Abiodun","Evaluation of optimized machine learning models for nuclear reactor accident prediction","","","0149-1970","10.1016/j.pnucene.2022.104263","","","2022","2025-12-15 17:38:50","2025-12-16 17:56:00","","","","","149.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Racheal-et-al-2022-2cb683956c2581fd9600c7536632d644","nuclear power plants; machine learning; notion; neural network; support vector machines; accident prediction; decision trees and mlp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPLGL495","journalArticle","2023","Hossny, K.; Villanueva, W.; Wang, H. D.","Distinctive physical insights driven from machine learning modelling of nuclear power plant severe accident scenario propagation","","","2045-2322","10.1038/s41598-023-28205-y","","","2023","2025-12-15 17:38:50","2025-12-16 17:56:01","","","","","13.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/K3Y76JDS/Hossny et al. - 2023 - Distinctive physical insights driven from machine learning modelling of nuclear power plant severe a.pdf; ","notion://www.notion.so/Hossny-et-al-2023-2cb683956c258169952fe1f092a7136a","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B2CREMS","journalArticle","2024","Yao, Jialu; Zhou, Yujia; Yao, Zhichao; Meng, Ye; Yu, Wangjianfei; Yang, Xinyu; Zhou, Dayong; Yang, Xiaoqin; Zhou, Yafeng","A novel machine learning-derived four-gene signature predicts STEMI and post-STEMI heart failure","","","2831-0896","10.17305/bb.2023.9629","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:01","","","","","24.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/IWD28V25/Yao et al. - 2024 - A novel machine learning-derived four-gene signature predicts STEMI and post-STEMI heart failure.pdf; ","notion://www.notion.so/Yao-et-al-2024-2cb683956c2581f5a828f9beb8847663","machine learning; notion; monocyte; prediction model; heart failure (hf); st-elevation myocardial infarction (stemi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7Y5EWF5","journalArticle","2024","Bhardwaj, Harsh Kumar; Shukla, Mukul","A unified creep and fatigue life prediction approach for 316 austenitic stainless steel using machine and deep learning","","","8756-758X","10.1111/ffe.14379","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:02","","","","","47.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/KM3H2UQM/Bhardwaj and Shukla - 2024 - A unified creep and fatigue life prediction approach for 316 austenitic stainless steel using machin.pdf; ","notion://www.notion.so/Bhardwaj-and-Shukla-2024-2cb683956c2581b5b784cb3d8e624c59","machine learning; deep learning; notion; 316 austenitic stainless steel; classical models; creep life; fatigue life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3ATNTZX","journalArticle","2024","Yao, Di; Gao, Ge; Yang, Qingyu; Fan, Feng; Yan, Jiachuan","Mechanical behaviors and internal pressure bearing capacity of nuclear containment using UHPC and ECC: From numerical simulation, machine learning prediction to fragility analysis","","","0029-5493","10.1016/j.nucengdes.2024.113617","","","2024","2025-12-15 17:38:50","2025-12-16 17:56:02","","","","","429.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Yao-et-al-2024-2cb683956c258160a43bd43445bf9c43","machine learning; notion; containment; ecc; finite element analysis; internal pressure bearing capacity; uhpc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSLW2AH8","journalArticle","2025","Kamkar, A.; Abbasi, M.","A comparative study of machine learning approaches for identification of perturbed fuel assemblies in WWER-type nuclear reactors","","","0306-4549","10.1016/j.anucene.2024.110992","","","2025","2025-12-15 17:38:50","2025-12-16 17:56:03","","","","","211.0","","","","","","","","","","","","","","","","","","","","notion://www.notion.so/Kamkar-and-Abbasi-2025-2cb683956c25815f8530d138e29dbc20","notion; core monitoring and diagnostics; machine learning classifiers; neutron noise; perturbed fuel assemblies; wwer-type reactors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
