Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Machine learning -based decision support framework for CBRN protection,"Kegyes, Tamas; Sule, Zoltan; Abonyi, Janos",,2024,,,10.0,,,,10.1016/j.heliyon.2024.e25946,,#2715,Kegyes 2024,"Exclusion reason: Non-systematic review paper; Leo Tunkle (2026-01-07 10:29:03)(Screen): They have a mini review embedded in this, so including; Nataly Panczyk (2026-02-03 07:14:39)(Select): Not a systematic review; ",""
A unified creep and fatigue life prediction approach for 316 austenitic stainless steel using machine and deep learning,"Bhardwaj, Harsh Kumar; Shukla, Mukul",,2024,,,47.0,,,,10.1111/ffe.14379,,#2722,Bhardwaj 2024,Exclusion reason: Predictive Maintenance; ,""
An improved method for PWR fuel failure detection using cascade-forward neural network with decision tree,"Dong, Bing; Yang, Kang; Zhang, Wei; Yin, Junlian; Wang, Dezhong",,2022,,,10.0,,,,10.3389/fenrg.2022.851848,,#2730,Dong 2022,"Exclusion reason: Insufficient safety impacts; Nataly Panczyk (2026-01-27 08:44:11)(Select): While nuclear power related, not safety critical (fuel rod failure is expected); ",""
Vibrational spectroscopy for the triage of traumatic brain injury computed tomography priority and hospital admissions,"Theakstone, Ashton G.; Brennan, Paul M.; Ashton, Katherine; Czeiter, Endre; Jenkinson, Michael D.; Syed, Khaja; Reed, Matthew J.; Baker, Matthew J.",,2022,,,39.0,,,,10.1089/neu.2021.0410,,#2738,Theakstone 2022,"Exclusion reason: Insufficient safety impacts; Leo Tunkle (2026-01-08 01:49:36)(Screen): This is an example of AI used for classification for medical triage, so it indirectly affects patient outcomes; Nataly Panczyk (2026-02-06 07:29:37)(Select): this is pretty methods-heavy and used for diagnosis, not treatment or decision-making, despite the title. the main goal here was to reduce the cost of CT scans and a secondary goal was to reduce radiation dose to the patient, neither of which are safety critical; ",""
Utilizing patient data: A tutorial on predicting second cancer with machine learning models,"Sadeghi, Hossein; Seif, Fatemeh; Farahani, Erfan Hatamabadi; Khanmohammadi, Soraya; Nahidinezhad, Shahla",,2024,,,13.0,,,,10.1002/cam4.70231,,#2744,Sadeghi 2024,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-08 01:56:04)(Screen): At least based on the abstract, this seems to be ML vs traditional methods resulting in a safety relevant treatment outcome (screening vs no screening); Nataly Panczyk (2026-02-05 11:34:33)(Select): no decision making here, just identification of important factors; ",""
Unifying system health management and automated decision making,"Balaban, Edward; Johnson, Stephen B.; Kochenderfer, Mykel J.",,2019,,,65.0,,,,10.1613/jair.1.11366,,#2763,Balaban 2019,Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-01-24 04:06:15)(Select): This is mostly about using AI to estimate end of life of components in aerospace applications. Falls into the predictive maintenance/too theoretical category; ,""
Automated defect detection and decision-support in gas turbine blade inspection,"Aust, Jonas; Shankland, Sam; Pons, Dirk; Mukundan, Ramakrishnan; Mitrovic, Antonija",,2021,,,8.0,,,,10.3390/aerospace8020030,,#2764,Aust 2021,"Exclusion reason: Predictive Maintenance; Nataly Panczyk (2026-01-24 04:01:54)(Select): Predictive maintenance tool development
-Uses scans of turbine blades to look for defects and compares ML to senior inspector; ",""
Using artificial intelligence to improve real-time decision-making for high-impact weather,"McGovern, Amy; Elmore, Kimberly L.; Gagne, II, David John; Haupt, Sue Ellen; Karstens, Christopher D.; Lagerquist, Ryan; Smith, Travis; Williams, John K.",,2017,,,98.0,,,,10.1175/BAMS-D-16-0123.1,,#2767,McGovern 2017,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-08 02:06:18)(Screen): This appears to be ML v status quo and is definitely safety critical; Nataly Panczyk (2026-02-04 14:02:01)(Select): There isn’t any decision making in this one, so will exclude. kind of falls into the same category as predictive maintenance as well because we can default to whichever predictive model has the more conservative estimate of the severe weather; ",""
Aviation accident and incident forecasting combining occurrence investigation and meteorological data using machine learning,"Caetano, Mauro",,2023,,,27.0,,,,10.3846/aviation.2023.18641,,#2768,Caetano 2023,"Exclusion reason: No AI-based decision making, pure detection; Nataly Panczyk (2026-01-27 10:57:40)(Select): No decision-making, just prediction; ",""
Multicopter fault detection and identification via data-driven statistical learning methods,"Dutta, Airin; McKay, Michael E.; Kopsaftopoulos, Fotis; Gandhi, Farhan",,2022,,,60.0,,,,10.2514/1.J060353,,#2778,Dutta 2022,"Exclusion reason: No AI-based decision making, pure detection; Leo Tunkle (2026-01-07 10:23:43)(Screen): I believe this is knowledge based vs ML, so I'm including; ",""
