,Author,Publication Year,Title,DOI
11,"Alhaddad, Ulaa; Basuhail, Abdullah; Khemakhem, Maher; Eassa, Fathy Elbouraey; Jambi, Kamal",2023,Towards sustainable energy grids: a machine learning-based ensemble methods approach for outages estimation in extreme weather events,10.3390/su151612622
10,"Chiu, Tzu-Yi; Le Ny, Jerome; David, Jean-Pierre",2023,Temporal logic explanations for dynamic decision systems using anchors and Monte Carlo Tree Search,10.1016/j.artint.2023.103897
0,"Bücker, Michael; Hoti, Kreshnik; Rose, Olaf",2024,Artificial intelligence to assist decision-making on pharmacotherapy: A feasibility study,10.1016/j.rcsop.2024.100491
14,"Bhardwaj, Harsh Kumar; Shukla, Mukul",2024,A unified creep and fatigue life prediction approach for 316 austenitic stainless steel using machine and deep learning,10.1111/ffe.14379
4,"Metta, Carlo; Beretta, Andrea; Guidotti, Riccardo; Yin, Yuan; Gallinari, Patrick; Rinzivillo, Salvatore; Giannotti, Fosca",2024,Advancing dermatological diagnostics: Interpretable AI for enhanced skin lesion classification,10.3390/diagnostics14070753
3,"Vieira, Cleverson; Rocha, Leonardo; Guimarães, Marcelo; Dias, Diego",2025,Exploring transparency: A comparative analysis of explainable artificial intelligence techniques in retinography images to support the diagnosis of glaucoma,10.1016/j.compbiomed.2024.109556
12,"Balaban, Edward; Johnson, Stephen B.; Kochenderfer, Mykel J.",2019,Unifying system health management and automated decision making,10.1613/jair.1.11366
9,"Qiao, Wei; Cheng, Xianggang; Dou, Linming; He, Hu; Meng, Xiangsheng; Ren, Yangyang; Xiao, Chong; Cai, Jin",2024,"Sedimentary environments, mechanical properties, and rock burst risk identification of overburden in deep mines",10.12363/issn.1001-1986.24.04.0279
7,"Barbieri, Carlo; Molina, Manuel; Ponce, Pedro; Tothova, Monika; Cattinelli, Isabella; Ion Titapiccolo, Jasmine; Mari, Flavio; Amato, Claudia; Leipold, Frank; Wehmeyer, Wolfgang; Stuard, Stefano; Stopper, Andrea; Canaud, Bernard",2016,An international observational study suggests that artificial intelligence for clinical decision support optimizes anemia management in hemodialysis patients,10.1016/j.kint.2016.03.036
6,"Allen, Michael; James, Charlotte; Frost, Julia; Liabo, Kristin; Pearn, Kerry; Monks, Thomas; Everson, Richard; Stein, Ken; James, Martin",2022,Use of clinical pathway simulation and machine learning to identify key levers for maximizing the benefit of intravenous thrombolysis in acute stroke,10.1161/STROKEAHA.121.038454
8,"de Silva, Brian M.; Callaham, Jared; Jonker, Jonathan; Goebel, Nicholas; Klemisch, Jennifer; McDonald, Darren; Hicks, Nathan; Kutz, J. Nathan; Brunton, Steven L.; Aravkin, Aleksandr Y.",2021,Hybrid learning approach to sensor fault detection with flight test data,10.2514/1.J059943
1,"Kieu, Anh Mai; Dang, Ha Nguyet; Tran, Khanh Thi Cat; Nguyen, Tuyen Thi Thanh; Nguyen, Chien Huu; Nguyen, Thanh Chi; Pham, Huong Thu; Le, Jennifer; Nguyen, Hai Thanh",2024,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,10.29090/psa.2024.04.24.AP0713
13,"Sadeghi, Hossein; Seif, Fatemeh; Farahani, Erfan Hatamabadi; Khanmohammadi, Soraya; Nahidinezhad, Shahla",2024,Utilizing patient data: A tutorial on predicting second cancer with machine learning models,10.1002/cam4.70231
2,"Goodall, Noah J.",2021,Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalistic data,10.1016/j.aap.2021.106056
5,"Eche, Thomas; Schwartz, Lawrence H.; Mokrane, Fatima-Zohra; Dercle, Laurent",2021,Toward generalizability in the deployment of artificial intelligence in radiology: Role of computation stress testing to overcome underspecification,10.1148/ryai.2021210097
