,Author,Publication Year,Title,DOI
0,"Bücker, Michael; Hoti, Kreshnik; Rose, Olaf",2024,Artificial intelligence to assist decision-making on pharmacotherapy: A feasibility study,10.1016/j.rcsop.2024.100491
4,"Metta, Carlo; Beretta, Andrea; Guidotti, Riccardo; Yin, Yuan; Gallinari, Patrick; Rinzivillo, Salvatore; Giannotti, Fosca",2024,Advancing dermatological diagnostics: Interpretable AI for enhanced skin lesion classification,10.3390/diagnostics14070753
2,"Goodall, Noah J.",2021,Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalistic data,10.1016/j.aap.2021.106056
14,"Pang, Bizhao; Hu, Xinting; Dai, Wei; Low, Kin Huat",2024,Stochastic route optimization under dynamic ground risk uncertainties for safe drone delivery operations,10.1016/j.tre.2024.103717
1,"Kieu, Anh Mai; Dang, Ha Nguyet; Tran, Khanh Thi Cat; Nguyen, Tuyen Thi Thanh; Nguyen, Chien Huu; Nguyen, Thanh Chi; Pham, Huong Thu; Le, Jennifer; Nguyen, Hai Thanh",2024,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,10.29090/psa.2024.04.24.AP0713
12,"Li, Zixiao; Zhang, Xinmiao; Ding, Lingling; Jing, Jing; Gu, Hong Qiu; Jiang, Yong; Meng, Xia; Du, Chunying; Wang, Chunjuan; Wang, Meng; Xu, Man; Zhang, Yanxu; Hu, Meera; Li, Hao; Gong, Xiping; Dong, Kehui; Zhao, Xingquan; Wang, Yilong; Liu, Liping; Xian, Ying; Peterson, Eric; Fonarow, Gregg C.; Schwamm, Lee H.; Wang, Yongjun",2024,Rationale and design of the GOLDEN BRIDGE II: a cluster-randomised multifaceted intervention trial of an artificial intelligence-based cerebrovascular disease clinical decision support system to improve stroke outcomes and care quality in China,10.1136/svn-2023-002411
13,"Alawieh, Ali; Zaraket, Fadi; Alawieh, Mohamed Baker; Chatterjee, Arindam Rano; Spiotta, Alejandro",2019,Using machine learning to optimize selection of elderly patients for endovascular thrombectomy,10.1136/neurintsurg-2018-014381
7,"Liu, Qinming; Chen, Huan; Chen, Jianing; Wang, Yujie",2025,Cross model fusion-based fault diagnosis for equipment considering multi-source signal fusion with small samples based on deep transfer learning,10.1016/j.measurement.2025.118203
5,"Eche, Thomas; Schwartz, Lawrence H.; Mokrane, Fatima-Zohra; Dercle, Laurent",2021,Toward generalizability in the deployment of artificial intelligence in radiology: Role of computation stress testing to overcome underspecification,10.1148/ryai.2021210097
3,"Vieira, Cleverson; Rocha, Leonardo; Guimarães, Marcelo; Dias, Diego",2025,Exploring transparency: A comparative analysis of explainable artificial intelligence techniques in retinography images to support the diagnosis of glaucoma,10.1016/j.compbiomed.2024.109556
11,"El Dsouki, Youssef; Condello, Ignazio",2025,Automated temperature management during cardiopulmonary bypass: a step toward safety and precision perfusion,10.1051/ject/2025021
10,"Danish, Mir Sayed Shah; Senjyu, Tomonobu",2023,AI-enabled energy policy for a sustainable future,10.3390/su15097643
6,"Allen, Michael; James, Charlotte; Frost, Julia; Liabo, Kristin; Pearn, Kerry; Monks, Thomas; Everson, Richard; Stein, Ken; James, Martin",2022,Use of clinical pathway simulation and machine learning to identify key levers for maximizing the benefit of intravenous thrombolysis in acute stroke,10.1161/STROKEAHA.121.038454
9,"Qiao, Wei; Cheng, Xianggang; Dou, Linming; He, Hu; Meng, Xiangsheng; Ren, Yangyang; Xiao, Chong; Cai, Jin",2024,"Sedimentary environments, mechanical properties, and rock burst risk identification of overburden in deep mines",10.12363/issn.1001-1986.24.04.0279
8,"Alos, Ahmad; Dahrouj, Z.",2020,Decision tree matrix algorithm for detecting contextual faults in unmanned aerial vehicles,10.3233/JIFS-191575
