,Author,Publication Year,Title,DOI
84,"Huegli, David; Chavaillaz, Alain; Sauer, Juergen; Schwaninger, Adrian",2025,Effects of false alarms and miscues of decision support systems on human-machine system performance: a study with airport security screeners,10.1080/00140139.2025.2453546
413,"Fleury, Emmanuelle; Pignol, Jean Philippe; Kiliç, Emine; van Rij, Caroline; Naus, Nicole; Yavuzyigitoglu, Serdar; den Toom, Wilhelm; Zolnay, Andras; Spruijt, Kees; van Vulpen, Marco; Trnková, Petra; Hoogeman, Mischa",2025,Stereotactic radiation therapy or protons for uveal melanoma patients? An artificial intelligence (AI)-based clinical treatment decision-making tool predicting doses to radiation therapy constraints,10.1016/j.ijrobp.2025.06.3867
341,"Khan, Ehsan; Lambrakis, Kristina; Briffa, Tom; Cullen, Louise A.; Karnon, Jonathon; Papendick, Cynthia; Quinn, Stephen; Tideman, Phil; van den Hengel, Anton; Verjans, Johan; Chew, Derek P.",2025,Re-engineering the clinical approach to suspected cardiac chest pain assessment in the emergency department by expediting research evidence to practice using artificial intelligence. (RAPIDx AI)-a cluster randomized study design,10.1016/j.ahj.2025.02.016
53,"Gutierrez-Zaballa, Jon; Basterretxea, Koldo; Echanobe, Javier",2024,Evaluating single event upsets in deep neural networks for semantic segmentation: An embedded system perspective,10.1016/j.sysarc.2024.103242
544,"Silvey, Scott; Patel, Nilang; Liu, Jinze; Tafader, Asiya; Nadeem, Mahum; Dhaliwal, Galvin; O'Leary, Jacqueline G.; Patton, Heather; Morgan, Timothy R.; Rogal, Shari; Bajaj, Jasmohan S.",2024,A machine learning algorithm avoids unnecessary paracentesis for exclusion of SBP in cirrhosis in resource-limited settings,10.1016/j.cgh.2024.06.015
347,"Moosavi, Amirhossein; Huang, Steven; Vahabi, Maryam; Motamedivafa, Bahar; Tian, Nelly; Mahmood, Rafid; Liu, Peter; Sun, Christopher L. F.",2024,Prospective human validation of artificial intelligence interventions in cardiology: a scoping review,10.1016/j.jacadv.2024.101202
63,"Cankaya, Burak; Topuz, Kazim; Delen, Dursun; Glassman, Aaron",2023,Evidence-based managerial decision-making with machine learning: The case of Bayesian inference in aviation incidents,10.1016/j.omega.2023.102906
553,"Bellelli, Valeria; Siccardi, Guido; Conte, Livia; Celani, Luigi; Congeduti, Elena; Borrazzo, Cristian; Santinelli, Letizia; Innocenti, Giuseppe Pietro; Pinacchio, Claudia; Ceccarelli, Giancarlo; Venditti, Mario; D’ettorre, Gabriella",2020,Preliminary attempt to predict risk of invasive pulmonary aspergillosis in patients with influenza: Decision trees may help?,10.3390/antibiotics9100644
628,"Jeong, Ji Yun; Jeon, Jae Han; Bae, Kwi Hyun; Choi, Yeon Kyung; Park, Keun Gyu; Kim, Jung Guk; Won, Kyu Chang; Cha, Bong Soo; Ahn, Chul Woo; Kim, Dong Won; Lee, Chang Hee; Lee, In Kyu",2018,Smart care based on telemonitoring and telemedicine for type 2 diabetes care: Multi-center randomized controlled trial,10.1089/tmj.2017.0203
562,"Acheampong, Emmanuel; Adua, Eric; Obirikorang, Christian; Anto, Enoch Odame; Peprah-Yamoah, Emmanuel; Obirikorang, Yaa; Asamoah, Evans Adu; Opoku-Yamoah, Victor; Nyantakyi, Michael; Taylor, John; Buckman, Tonnies Abeku; Yakubu, Maryam; Afrifa-Yamoah, Ebenezer",2024,Predictive modelling of metabolic syndrome in Ghanaian diabetic patients: an ensemble machine learning approach,10.1007/s40200-024-01491-7
466,"Herke, Habil Csongor; Szabó, Barbara",2024,Self-driving vehicles and their impact on the european convention on human rights,10.53955/jhcls.v4i3.376
505,"Renard, Jade; Faucher, Mathieu R.; Combes, Anaïs; Concordet, Didier; Reynolds, Brice S.",2021,Machine-learning algorithm as a prognostic tool in non-obstructive acute-on-chronic kidney disease in the cat,10.1177/1098612X211001273
145,"Kim, Woojin; Kim, Junghwa; Jang, Jeong Ah; Kim, Suk-Hee",2023,Do perceptions of hydrogen energy effect on vehicle preference? A learning-based model approach,10.1007/s12205-022-0227-x
455,"Abu, N. S.; Bukhari, W. M.; Adli, M. H.; Maghfiroh, Hari; Ma’arif, Alfian",2024,"Advancements, challenges and safety implications of AI in autonomous vehicles: a comparative analysis of urban vs. highway environments",10.18196/jrc.v5i3.21114
232,"Nam, Su Han; Kwon, Jae Hyun; Kim, Young Do",2023,Comparison of optimal machine learning algorithms for early detection of unknown hazardous chemicals in rivers using sensor monitoring data,10.3390/toxics11040314
132,"Loken, Erik Andreas; Lokkevik, Jens; Sui, Dan",2020,Data-driven approaches tests on a laboratory drilling system,10.1007/s13202-020-00870-z
509,"Javaid, Sabah; Gorji, Hamed Taheri; Soulami, Khaoula Belhaj; Kaabouch, Naima",2023,Identification and ranking biomaterials for bone scaffolds using machine learning and PROMETHEE,10.1007/s42600-022-00257-5
133,"Suryana, Lucas Elbert; Nordhoff, Sina; Calvert, Simeon; Zgonnikov, Arkady; van Arem, Bart",2025,Meaningful human control of partially automated driving systems: Insights from interviews with Tesla users,10.1016/j.trf.2025.04.026
108,"Mehta, Aryan Alpesh; Padaria, Ali Asgar; Bavisi, Dwij Jayesh; Ukani, Vijay; Thakkar, Priyank; Geddam, Rebekah; Kotecha, Ketan; Abraham, Ajith",2024,Securing the future: a comprehensive review of security challenges and solutions in advanced driver assistance systems,10.1109/ACCESS.2023.3347200
165,"Ahmad, Usman",2022,A node pairing approach to secure the Internet of Things using machine learning,10.1016/j.jocs.2022.101718
167,"Yalcin, Mustafa; Sari, Fatih; Yildiz, Ahmet",2023,Exploration of potential geothermal fields using MAXENT and AHP: A case study of the Buyuk Menderes Graben,10.1016/j.geothermics.2023.102792
77,"de Silva, Brian M.; Callaham, Jared; Jonker, Jonathan; Goebel, Nicholas; Klemisch, Jennifer; McDonald, Darren; Hicks, Nathan; Kutz, J. Nathan; Brunton, Steven L.; Aravkin, Aleksandr Y.",2021,Hybrid learning approach to sensor fault detection with flight test data,10.2514/1.J059943
106,"Ji, Yuxiong; Xu, Zhongke; Zhao, Cong; Chen, Kun; Du, Yuchuan",2025,Accelerated testing and evaluation for black-box autonomous driving systems via adaptive markov chain monte carlo,10.1109/TITS.2024.3525059
391,"Gui, Chengzhi; Cao, Chen; Zhang, Xin; Zhang, Jiaxin; Ni, Guangjian; Ming, Dong",2023,Radiomics and artificial neural networks modelling for identification of high-risk carotid plaques,10.3389/fcvm.2023.1173769
