Paper Index,Author,Publication Year,Title,Abstract,DOI,Majdi's Vote to Include,Nataly's Vote to Include
84,"Huegli, David; Chavaillaz, Alain; Sauer, Juergen; Schwaninger, Adrian",2025,Effects of false alarms and miscues of decision support systems on human-machine system performance: a study with airport security screeners,"ABSTRACT  Decision support systems such as explosives detection systems for cabin baggage (eDscB) at airport security checkpoints help screeners detect bombs by highlighting areas in X-ray images that might contain explosives. however, these systems are not perfect and can produce false alarms (i.e. alarm when no target is present) and miscues (i.e. a non-target is cued but the actual target is located elsewhere in the image). this study investigated the consequences of such automation errors in 112 professional airport security screeners who were supported by a simulated eDscB with realistic X-ray images of cabin baggage. they had to detect bombs, guns, and knives under one of three experimental conditions: miscue prone, false alarm prone, or multiple failures (false alarms and miscues). Results showed that screeners missed more knives when the eDscB provided miscues. We conclude that on-screen alarm resolution of eDscB alarms in primary screening has the disadvantage that miscues can result in missing prohibited articles at airport security checkpoints. to avoid this problem, automated decision or clear instructions to screeners should be considered.  Practitioner Statement: airport security screeners inspect X-ray images of cabin baggage through visual search and decision making with the help of explosives detection system for cabin baggage screening (eDscB). the present experiment addresses whether eDscB miscues affect operator performance and whether miscues are a problem when conducting eDscB on-screen alarm resolution.  HIGHLIGHTS  • We tested 115 professional airport security screeners using realistic X-ray images of cabin  baggage. • screeners were supported by an explosives detection system for cabin baggage (eDscB) to  help them detect bombs. • Besides correct explosives alarms, the eDscB made false alarms on target-absent images or  miscues on images containing guns or knives that were localised elsewhere on the image. • screeners missed more knives when the eDscB provided miscues than when the eDscB  provided no miscues. • instead of on-screen alarm resolution of eDscB alarms in primary screening, automated  decision or clear instructions to screeners should be considered.",10.1080/00140139.2025.2453546,,
413,"Fleury, Emmanuelle; Pignol, Jean Philippe; Kili√ß, Emine; van Rij, Caroline; Naus, Nicole; Yavuzyigitoglu, Serdar; den Toom, Wilhelm; Zolnay, Andras; Spruijt, Kees; van Vulpen, Marco; Trnkov√°, Petra; Hoogeman, Mischa",2025,Stereotactic radiation therapy or protons for uveal melanoma patients? An artificial intelligence (AI)-based clinical treatment decision-making tool predicting doses to radiation therapy constraints,"Purpose
For ocular melanoma, selecting between stereotactic radiation therapy (SRT) and protons requires a lengthy plan comparison process. The purpose of this brief report is to describe an artificial intelligence (AI) decision-making tool to predict dosimetric and clinical outcomes based on easy-to-access tumor characteristics.
Methods and Materials
The AI tool was based on a retrospective database of 66 patients with uveal melanoma treated in a single center with robotic SRT. A supervised machine learning model was developed to correlate the risk of toxicity for each radiation modality and clinical features. Clinical toxicity risks were built in various profiles: Profile I for maculopathy, optic-neuropathy, and visual acuity deterioration; Profile II for neovascular glaucoma; Profile III for radiation-induced retinopathy; and Profile IV for dry-eye syndrome.
Results
Machine learning-based toxicity prediction accuracy for selecting the correct treatment modality was 81%, 77%, 91%, and 93% for Profiles I, II, III, and IV, respectively.
Conclusion
The study shows that a machine learning method based on easy-to-access clinical characteristics can predict which toxicity would be greater with SRT or protons. This AI tool could support patients in making informed treatment decisions in an ophthalmology clinic, without the lengthy wait for computed tomographic simulation results and extensive plan comparisons.",10.1016/j.ijrobp.2025.06.3867,,
341,"Khan, Ehsan; Lambrakis, Kristina; Briffa, Tom; Cullen, Louise A.; Karnon, Jonathon; Papendick, Cynthia; Quinn, Stephen; Tideman, Phil; van den Hengel, Anton; Verjans, Johan; Chew, Derek P.",2025,Re-engineering the clinical approach to suspected cardiac chest pain assessment in the emergency department by expediting research evidence to practice using artificial intelligence. (RAPIDx AI)-a cluster randomized study design,"Background
Clinical work-up for suspected cardiac chest pain is resource intensive. Despite expectations, high-sensitivity cardiac troponin assays have not made decision making easier. The impact of recently validated rapid triage protocols including the 0-hour/1-hour hs-cTn protocols on care and outcomes may be limited by the heterogeneity in interpretation of troponin profiles by clinicians. We have developed machine learning (ML) models which digitally phenotype myocardial injury and infarction with a high predictive performance and provide accurate risk assessment among patients presenting to EDs with suspected cardiac symptoms. The use of these models may support clinical decision-making and allow the synthesis of an evidence base particularly in non-T1MI patients however prospective validation is required.
Objective
We propose that integrating validated real-time artificial intelligence (AI) methods into clinical care may better support clinical decision-making and establish the foundation for a self-learning health system.
Design
This prospective, multicenter, open-label, cluster-randomized clinical trial within blinded endpoint adjudication across 12 hospitals (n = 20,000) will randomize sites to the clinical decision-support tool or continue current standard of care. The clinical decision support tool will utilize ML models to provide objective patient-specific diagnostic probabilities (ie, likelihood for Type 1 myocardial infarction [MI] versus Type 2 MI/Acute Myocardial Injury versus Chronic Myocardial Injury etc.) and prognostic assessments. The primary outcome is the composite of cardiovascular mortality, new or recurrent MI and unplanned hospital re-admission at 12 months post index presentation.
Summary
Supporting clinicians with a decision support tool that utilizes AI has the potential to provide better diagnostic and prognostic assessment thereby improving clinical efficiency and establish a self-learning health system continually improving risk assessment, quality and safety.",10.1016/j.ahj.2025.02.016,,
53,"Gutierrez-Zaballa, Jon; Basterretxea, Koldo; Echanobe, Javier",2024,Evaluating single event upsets in deep neural networks for semantic segmentation: An embedded system perspective,"As the deployment of artificial intelligence (AI) algorithms at edge devices becomes increasingly prevalent, enhancing the robustness and reliability of autonomous AI-based perception and decision systems is becoming as relevant as precision and performance, especially in applications areas considered safety-critical such as autonomous driving and aerospace. This paper delves into the robustness assessment in embedded Deep Neural Networks (DNNs), particularly focusing on the impact of parameter perturbations produced by single event upsets (SEUs) on convolutional neural networks (CNN) for image semantic segmentation. By scrutinizing the layer-by-layer and bit-by-bit sensitivity of various encoder–decoder models to soft errors, this study thoroughly investigates the vulnerability of segmentation DNNs to SEUs and evaluates the consequences of techniques like model pruning and parameter quantization on the robustness of compressed models aimed at embedded implementations. The findings offer valuable insights into the mechanisms underlying SEU-induced failures that allow for evaluating the robustness of DNNs once trained in advance. Moreover, based on the collected data, we propose a set of practical lightweight error mitigation techniques with no memory or computational cost suitable for resource-constrained deployments. The code used to perform the fault injection (FI) campaign is available at https://github.com/jonGuti13/TensorFI2, while the code to implement proposed techniques is available at https://github.com/jonGuti13/parameterProtection.",10.1016/j.sysarc.2024.103242,,
544,"Silvey, Scott; Patel, Nilang; Liu, Jinze; Tafader, Asiya; Nadeem, Mahum; Dhaliwal, Galvin; O'Leary, Jacqueline G.; Patton, Heather; Morgan, Timothy R.; Rogal, Shari; Bajaj, Jasmohan S.",2024,A machine learning algorithm avoids unnecessary paracentesis for exclusion of SBP in cirrhosis in resource-limited settings,"Background & Aims
Despite the poor prognosis associated with missed or delayed spontaneous bacterial peritonitis (SBP) diagnosis, <15% get timely paracentesis, which persists despite guidelines/education in the United States. Measures to exclude SBP non-invasively where timely paracentesis cannot be performed could streamline this burden.
Methods
Using Veterans Health Administration Corporate Data Warehouse (VHA-CDW) we included patients with cirrhosis between 2009 and 2019 who underwent timely paracentesis and collected relevant clinical information (demographics, cirrhosis severity, medications, vitals, and comorbidities). XGBoost-models were trained on 75% of the primary cohort, with 25% reserved for testing. The final model was further validated in 2 cohorts: Validation cohort #1: In VHA-CDW, those without prior SBP who received 2nd early paracentesis, and Validation cohort #2: Prospective data from 276 non-electively admitted University hospital patients.
Results
Negative predictive values (NPVs) at 5%,10%, and 15% probability cutoffs were examined. Primary cohort: n = 9643 (mean age, 63.1 ± 8.7 years; 97.2% men; SBP, 15.0%) received first early paracentesis. Testing-set NPVs for SBP were 96.5%, 93.0%, and 91.6% at the 5%, 10%, and 15% probability thresholds, respectively. In Validation cohort #1: n = 2844 (mean age, 63.14 ± 8.37 years; 97.1% male; SBP, 9.7%) with NPVs were 98.8%, 95.3%, and 94.5%. In Validation cohort #2: n = 276 (mean age, 56.08 ± 9.09; 59.6% male; SBP, 7.6%) with NPVs were 100%, 98.9%, and 98.0% The final machine learning model showed the greatest net benefit on decision-curve analyses.
Conclusions
A machine learning model generated using routinely collected variables excluded SBP with high NPV. Applying this model could ease the need to provide paracentesis in resource-limited settings by excluding those unlikely to have SBP.",10.1016/j.cgh.2024.06.015,,
347,"Moosavi, Amirhossein; Huang, Steven; Vahabi, Maryam; Motamedivafa, Bahar; Tian, Nelly; Mahmood, Rafid; Liu, Peter; Sun, Christopher L. F.",2024,Prospective human validation of artificial intelligence interventions in cardiology: a scoping review,"BACKGROUND Despite the potential of artificial intelligence (AI) in enhancing cardiovascular care, its integration into clinical practice is limited by a lack of evidence on its effectiveness with respect to human experts or gold standard practices in real-world settings.  OBJECTIVES The purpose of this study was to identify AI interventions in cardiology that have been prospectively validated against human expert benchmarks or gold standard practices, assessing their effectiveness, and identifying future research areas.  METHODS We systematically reviewed Scopus and MEDLINE to identify peer-reviewed publications that involved prospective human validation of AI-based interventions in cardiology from January 2015 to December 2023.  RESULTS Of 2,351 initial records, 64 studies were included. Among these studies, 59 (92.2%) were published after 2020. A total of 11 (17.2%) randomized controlled trials were published. AI interventions in 44 articles (68.75%) reported definite clinical or operational improvements over human experts. These interventions were mostly used in imaging (n 1⁄4 14, 21.9%), ejection fraction (n 1⁄4 10, 15.6%), arrhythmia (n 1⁄4 9, 14.1%), and coronary artery disease (n 1⁄4 12, 18.8%) application areas. Convolutional neural networks were the most common predictive model (n 1⁄4 44, 69%), and images were the most used data type (n 1⁄4 38, 54.3%). Only 22 (34.4%) studies made their models or data accessible.  CONCLUSIONS This review identifies the potential of AI in cardiology, with models often performing equally well as human counterparts for specific and clearly scoped tasks suitable for such models. Nonetheless, the limited number of randomized controlled trials emphasizes the need for continued validation, especially in real-world settings that closely examine joint human AI decision-making. (JACC Adv. 2024;3:101202) © 2024 The Authors. Published by Elsevier on behalf of the American College of Cardiology Fo",10.1016/j.jacadv.2024.101202,,
63,"Cankaya, Burak; Topuz, Kazim; Delen, Dursun; Glassman, Aaron",2023,Evidence-based managerial decision-making with machine learning: The case of Bayesian inference in aviation incidents,"Understanding the factors behind aviation incidents is essential, not only because of the lethality of the accidents but also the incidents' direct and indirect economic impact. Even minor incidents trigger significant economic damage and create disruptions to aviation operations. It is crucial to investigate these incidents to understand the underlying reasons and hence, reduce the risk associated with physical and financial safety in a precarious industry like aviation. The findings may provide decision-makers with a causally accurate means of investigating the topic while untangling the difficulties concerning the statistical associations and causal effects. This research aims to identify the significant variables and their probabilistic dependencies/relationships determining the degree of aircraft damage. The value and the contribution of this study include (1) developing a fully automatic ML prediction-based DSS for aircraft damage severity, (2) conducting a deep network analysis of affinity between predicting variables using probabilistic graphical modeling (PGM), and (3) implementing a user-friendly dashboard to interpret the business insight coming from the design and development of the Bayesian Belief Network (BBN). By leveraging a large, real-world dataset, the proposed methodology captures the probability-based interrelations among air terminal, flight, flight crew, and air-vehicle-related characteristics as explanatory variables, thereby revealing the underlying, complex interactions in accident severity. This research contributes significantly to the current body of knowledge by defining and proving a methodology for automatically categorizing aircraft damage severity based on flight, aircraft, and PIC (pilot in command) information. Moreover, the study combines the findings of the Bayesian Belief Networks with decades of aviation expertise of the subject matter expert, drawing and explaining the association map to find the root causes of the problems and accident relayed variables.",10.1016/j.omega.2023.102906,,
553,"Bellelli, Valeria; Siccardi, Guido; Conte, Livia; Celani, Luigi; Congeduti, Elena; Borrazzo, Cristian; Santinelli, Letizia; Innocenti, Giuseppe Pietro; Pinacchio, Claudia; Ceccarelli, Giancarlo; Venditti, Mario; D‚Äôettorre, Gabriella",2020,Preliminary attempt to predict risk of invasive pulmonary aspergillosis in patients with influenza: Decision trees may help?,"Invasive pulmonary aspergillosis (IPA) is typically considered a disease of immunocompromised patients, but, recently, many cases have been reported in patients without typical risk factors. The aim of our study is to develop a risk predictive model for IPA through machine learning techniques (decision trees) in patients with influenza. We conducted a retrospective observational study analyzing data regarding patients diagnosed with influenza hospitalized at the University Hospital “Umberto I” of Rome during the 2018-2019 season. We collected five IPA cases out of 77 influenza patients. Although the small sample size is a limit, the most vulnerable patients among the influenza-infected population seem to be those with evidence of lymphocytopenia and those that received corticosteroid therapy.",10.3390/antibiotics9100644,,
628,"Jeong, Ji Yun; Jeon, Jae Han; Bae, Kwi Hyun; Choi, Yeon Kyung; Park, Keun Gyu; Kim, Jung Guk; Won, Kyu Chang; Cha, Bong Soo; Ahn, Chul Woo; Kim, Dong Won; Lee, Chang Hee; Lee, In Kyu",2018,Smart care based on telemonitoring and telemedicine for type 2 diabetes care: Multi-center randomized controlled trial,"Background:
This study was performed to determine the effectiveness of the Smart Care service on glucose control based on telemedicine and telemonitoring compared with conventional treatment in patients with type 2 diabetes.
Materials and Methods:
This 24-week prospective multi-center randomized controlled trial involved 338 adult patients with type 2 diabetes at four university hospitals in South Korea. The patients were randomly assigned to a control group (group A, n_=_113), a telemonitoring group (group B, n_=_113), or a telemedicine group (group C, n_=_112). Patients in the telemonitoring group visited the outpatient clinic regularly, accompanied by an additional telemonitoring service that included remote glucose monitoring with automated patient decision support by text. Remote glucose monitoring was identical in the telemedicine group, but assessment by outpatient visits was replaced by video conferencing with an endocrinologist.
Results:
The adjusted net reductions in HbA1c concentration after 24 weeks were similar in the conventional, telemonitoring, and telemedicine groups (_0.66%_±_1.03% vs. _0.66%_±_1.09% vs. _0.81%_±_1.05%; p > 0.05 for each pairwise comparison). Fasting glucose concentrations were lower in the telemonitoring and telemedicine groups than in the conventional group. Rates of hypoglycemia were lower in the telemedicine group than in the other two groups, and compliance with medication was better in the telemonitoring and telemedicine than in the conventional group. No serious adverse events were associated with telemedicine.
Conclusions:
Telehealthcare was as effective as conventional care at improving glycemia in patients with type 2 diabetes without serious adverse effects.",10.1089/tmj.2017.0203,,
562,"Acheampong, Emmanuel; Adua, Eric; Obirikorang, Christian; Anto, Enoch Odame; Peprah-Yamoah, Emmanuel; Obirikorang, Yaa; Asamoah, Evans Adu; Opoku-Yamoah, Victor; Nyantakyi, Michael; Taylor, John; Buckman, Tonnies Abeku; Yakubu, Maryam; Afrifa-Yamoah, Ebenezer",2024,Predictive modelling of metabolic syndrome in Ghanaian diabetic patients: an ensemble machine learning approach,"Objectives The burgeoning prevalence of cardiometabolic disorders, including type 2 diabetes mellitus (T2DM) and metabolic syndrome (MetS) within Africa is concerning. Machine learning (ML) techniques offer a unique opportunity to leverage data-driven insights and construct predictive models for MetS risk, thereby enhancing the implementation of personalised prevention strategies. In this work, we employed ML techniques to develop predictive models for pre-MetS and MetS among diabetic patients. Methods This multi-centre cross-sectional study comprised of 919 T2DM patients. Age, gender, novel anthropometric indices along with biochemical measures were analysed using BORUTA feature selection and an ensemble majority voting classification model, which included logistic regression, k-nearest neighbour, Gaussian Naive Bayes, Gradient boosting classification, and support vector machine. Results Distinct metabolic profiles and phenotype clusters were associated with MetS progression. The BORUTA algorithm identified 10 and 16 significant features for pre-MetS and MetS prediction, respectively. For pre-MetS, the top-ranked features were lipid accumulation product (LAP), triglyceride-glucose index adjusted for waist-to-height ratio (TyG-WHtR), coronary risk (CR), visceral adiposity index (VAI) and abdominal volume index (AVI). For MetS prediction, the most influential features were VAI, LAP, waist triglyceride index (WTI), Very low-density cholesterol (VLDLC) and TyG-WHtR. Majority voting ensemble classifier demonstrated superior performance in predicting pre-MetS (AUC = 0.79) and MetS (AUC = 0.87). Conclusion Identifying these risk factors reveals the complex interplay between visceral adiposity and metabolic dysregulation in African populations, enabling early detection and treatment. Ethical integration of ML algorithms in clinical decisionmaking can streamline identification of high-risk individuals, optimize resource allocation, and enable precise, tailored interventions.",10.1007/s40200-024-01491-7,,
